date,keywords,headline,source,doc_type,web_url,news_desk,section,snippet,lead_paragraph
1997-06-04T00:00:00Z,MEMPHIS (TENN); LITTLE ROCK (ARK); FEDERAL BUREAU OF INVESTIGATION; ROBBERIES AND THEFTS; AUTOMOBILES; FIREARMS,F.B.I. SWAT Team Loses Vehicle and Weapons,The New York Times,article,http://www.nytimes.com/1997/06/04/us/fbi-swat-team-loses-vehicle-and-weapons.html,National Desk,U.S.,"A vehicle loaded with guns, ammunition and other crime-fighting gear belonging to the Federal Bureau of Investigation was stolen from a motel parking lot here on Monday night in a crime that threatens to be acutely embarrassing to the agency.    The...","A vehicle loaded with guns, ammunition and other crime-fighting gear belonging to the Federal Bureau of Investigation was stolen from a motel parking lot here on Monday night in a crime that threatens to be acutely embarrassing to the agency. The burned shell of the vehicle was found early today in an industrial area of the city, according to John W. Hancock of the bureau's Memphis office. Missing were about a dozen weapons, including M-16 rifles and a shotgun, plus tear-gas equipment, ammunition, bulletproof vests, helmets and shields with agency insignia, Mr. Hancock said."
1997-06-05T00:00:00Z,MEMPHIS (TENN); FEDERAL BUREAU OF INVESTIGATION; ROBBERIES AND THEFTS; VANS,3 Men Are In Custody After F.B.I. Van Theft,AP,article,http://www.nytimes.com/1997/06/05/us/3-men-are-in-custody-after-fbi-van-theft.html,National Desk,None,"Police took three men into custody and seized tear gas canisters, a grenade launcher and ammunition Wednesday from a house just blocks from where a stolen F.B.I. assault team van was found after it had been stolen from a hotel parking lot and set...","Police took three men into custody and seized tear gas canisters, a grenade launcher and ammunition Wednesday from a house just blocks from where a stolen F.B.I. assault team van was found after it had been stolen from a hotel parking lot and set afire. The Federal Bureau of Investigation said the three men and two others already under arrest for an unrelated theft were being questioned today."
1997-06-06T00:00:00Z,"SMITH, FRANK; PRISONS AND PRISONERS; ATTICA STATE PRISON (NY); SUITS AND CLAIMS AGAINST GOVERNMENT; GUARDS; DEMONSTRATIONS AND RIOTS; TORTURE",Ex-Attica Inmate Wins $4 Million for Reprisals After '71 Uprising,The New York Times,article,http://www.nytimes.com/1997/06/06/nyregion/ex-attica-inmate-wins-4-million-for-reprisals-after-71-uprising.html,Metropolitan Desk,New York and Region,"Twenty-six years after he was beaten and tortured in an orgy of reprisals by guards who had crushed the deadliest prison uprising in the country's history, a former Attica inmate was awarded $4 million in damages yesterday by a Federal court jury in...","Twenty-six years after he was beaten and tortured in an orgy of reprisals by guards who had crushed the deadliest prison uprising in the country's history, a former Attica inmate was awarded $4 million in damages yesterday by a Federal court jury in Buffalo. The plaintiff, Frank Smith, was forced to walk over broken glass, beaten with batons, locked in his cell for four days, burned with cigarettes, made to lie on a picnic table for hours with a football under his chin and threatened with castration and death. He was the first of 1,281 inmates to win damages in the long-running case. They filed a $2.8 billion civil liability suit in 1974."
1997-06-10T00:00:00Z,"ARAP MOI, DANIEL; KENYA; POLITICS AND GOVERNMENT; CONSTITUTIONS; ELECTIONS; ECONOMIC CONDITIONS AND TRENDS",Kenyan President Is Facing a Growing Chorus of Discontent,The New York Times,article,http://www.nytimes.com/1997/06/10/world/kenyan-president-is-facing-a-growing-chorus-of-discontent.html,Foreign Desk,World,"With opposition leaders threatening more violent protests like the one that rocked this capital recently, a protracted battle over constitutional reform is looming in Kenya, threatening to overshadow or even derail presidential elections later this...","With opposition leaders threatening more violent protests like the one that rocked this capital recently, a protracted battle over constitutional reform is looming in Kenya, threatening to overshadow or even derail presidential elections later this year. Eight months ago, President Daniel arap Moi's political position appeared unassailable. Opposition leaders were splintered along ethnic lines, unable to find a single candidate to challenge the man who has ruled Kenya for 19 years. With his political enemies divided, it looked as if the President would win re-election easily."
1997-06-12T00:00:00Z,"ARAP MOI, DANIEL; SANE, PIERRE; KENYA; AMNESTY INTERNATIONAL; REFORM AND REORGANIZATION; POLITICS AND GOVERNMENT; ELECTIONS; FREEDOM AND HUMAN RIGHTS",Rights Group Urges Kenya to Widen Freedoms Before Election,The New York Times,article,http://www.nytimes.com/1997/06/12/world/rights-group-urges-kenya-to-widen-freedoms-before-election.html,Foreign Desk,World,The human rights organization Amnesty International said today that Kenya's general elections this year would not be fair unless constitutional reforms were carried out and repressive public-order laws were repealed.     Ending a two-week...,"The human rights organization Amnesty International said today that Kenya's general elections this year would not be fair unless constitutional reforms were carried out and repressive public-order laws were repealed. Ending a two-week fact-finding visit to this East African nation, Pierre Sane, the secretary general of the group, gave a bleak account of human rights in Kenya."
1997-06-13T00:00:00Z,WACO: THE RULES OF ENGAGEMENT (MOVIE); MOTION PICTURES; REVIEWS,Indicting The Feds For the Siege At Waco,The New York Times,article,http://www.nytimes.com/1997/06/13/movies/indicting-the-feds-for-the-siege-at-waco.html,Weekend Desk,Movies; Arts,"An atmosphere of stomach-clenching dread suffuses William Gazecki's grim documentary film, ''Waco: The Rules of Engagement.'' This methodical indictment of the United States Government's siege of the Branch Davidian compound near Waco, Tex., four...","An atmosphere of stomach-clenching dread suffuses William Gazecki's grim documentary film, ''Waco: The Rules of Engagement.'' This methodical indictment of the United States Government's siege of the Branch Davidian compound near Waco, Tex., four years ago has awful lessons to teach about governmental hubris and how a deliberate failure to communicate can have catastrophic consequences. That siege left 4 Federal agents and 76 members of the Branch Davidian sect dead. Most of those who perished were incinerated in a fire that destroyed the Mount Carmel compound on April 19, 1993. Among the film's most unsettling images are lingering close-ups of the charred bodies of women and children who died in the inferno."
1997-06-13T00:00:00Z,ISRAEL; GAZA STRIP; PALESTINIANS,Gaza Arabs and Israelis Clash in Land Dispute,The New York Times,article,http://www.nytimes.com/1997/06/13/world/gaza-arabs-and-israelis-clash-in-land-dispute.html,Foreign Desk,World,"Israeli soldiers and settlers clashed with  Palestinian crowds in the Gaza Strip today in violence set off by a dispute over land near a Jewish settlement.    The Israeli Army moved two tanks into position near one scene of unrest, which erupted as...","Israeli soldiers and settlers clashed with Palestinian crowds in the Gaza Strip today in violence set off by a dispute over land near a Jewish settlement. The Israeli Army moved two tanks into position near one scene of unrest, which erupted as an Egyptian envoy met with Prime Minister Benjamin Netanyahu in Tel Aviv in an effort to restart Israeli-Palestinian negotiations."
1997-06-13T00:00:00Z,ISRAEL; PRAYERS AND PRAYER BOOKS; JEWS; WOMEN; HOLIDAYS AND SPECIAL OCCASIONS,Orthodox Israelis Assault Jews Praying at Western Wall,The New York Times,article,http://www.nytimes.com/1997/06/13/world/orthodox-israelis-assault-jews-praying-at-western-wall.html,Foreign Desk,World,Conservative Jewish men and women who tried to pray together at the Western Wall during the Shavuot holiday early Wednesday morning said today that they had been assaulted by hundreds of rigorously Orthodox men evidently incensed by the sight of...,"Conservative Jewish men and women who tried to pray together at the Western Wall during the Shavuot holiday early Wednesday morning said today that they had been assaulted by hundreds of rigorously Orthodox men evidently incensed by the sight of women praying with men. The Conservatives said the strictly Orthodox Jews, known more commonly as the haredim, had spat on them and pelted them with garbage and feces, while calling them ''Nazis,'' ''Christians,'' ''whores'' and ''goyim.''"
1997-06-16T00:00:00Z,"HANEGBI, TZAHI; NETANYAHU, BENJAMIN; RUBINSTEIN, ELYAKIM; ISRAEL; JEWS; PALESTINIANS; POLITICS AND GOVERNMENT",High Court Backs Netanyahu in Influence-Peddling Case,The New York Times,article,http://www.nytimes.com/1997/06/16/world/high-court-backs-netanyahu-in-influence-peddling-case.html,Foreign Desk,World,"The Israeli Supreme Court today upheld the decision of the Attorney General not to prosecute Prime Minister Benjamin Netanyahu or his Justice Minister in an influence-peddling case, thus lifting one burden from the embattled Government.    But the...","The Israeli Supreme Court today upheld the decision of the Attorney General not to prosecute Prime Minister Benjamin Netanyahu or his Justice Minister in an influence-peddling case, thus lifting one burden from the embattled Government. But the threat of a major confrontation with American Jews over rules for conversion to Judaism, the increasingly tense impasse in the Palestinian talks and a new rebellion within his coalition have compelled Mr. Netanyahu to cancel a planned trip to the United States."
1997-06-29T00:00:00Z,NEW YORK STATE; GREAT MEADOW CORRECTIONAL FACILITY; AUBURN CORRECTIONAL FACILITY; ORLEANS CORRECTIONAL FACILITY; PRISONS AND PRISONERS; GUARDS; DEMONSTRATIONS AND RIOTS,Guards and Inmates Hurt At Three State Prisons,The New York Times,article,http://www.nytimes.com/1997/06/29/nyregion/guards-and-inmates-hurt-at-three-state-prisons.html,Metropolitan Desk,New York and Region,"Incidents of violence led to the injuries of guards and inmates at three state prisons last week, the State Department of Correctional Services said.    Several inmates were hurt at Great Meadow Correctional Facility in Comstock, after a fight broke...","Incidents of violence led to the injuries of guards and inmates at three state prisons last week, the State Department of Correctional Services said. Several inmates were hurt at Great Meadow Correctional Facility in Comstock, after a fight broke out among about 40 inmates. Guards fired a warning shot and dispensed tear gas. At Auburn Correctional Facility on Thursday, a tower officer fired a warning shot to disperse a group of inmates that had surrounded and threatened two correction officers and a sergeant in a recreational yard. The sergeant and a correction officer were hurt."
1997-07-08T00:00:00Z,,NEWS SUMMARY,The New York Times,article,http://www.nytimes.com/1997/07/08/nyregion/news-summary-020222.html,Metropolitan Desk,New York and Region," INTERNATIONAL   A3-7    Election Results in Mexico Usher in Pluralist Era  Voters in Mexico dealt a blow to single-party rule, as official election results showed that the governing Institutional Revolutionary Party had failed to win an absolute...","INTERNATIONAL A3-7 Election Results in Mexico Usher in Pluralist Era Voters in Mexico dealt a blow to single-party rule, as official election results showed that the governing Institutional Revolutionary Party had failed to win an absolute majority in the national Congress for the first time since its founding in 1929. A1 Cuahtemoc Cardenas lost his first presidential bid in an apparently fraudulent election in 1988. Mr. Cardenas, the leader of the leftist Party of the Democratic Revolution, has now become mayor of North America's largest city. A6"
1997-07-08T00:00:00Z,"MOI, DANIEL ARAP; KENYA; POLITICS AND GOVERNMENT; BIOGRAPHICAL INFORMATION; CONSTITUTIONS; DEMONSTRATIONS AND RIOTS; FREEDOM AND HUMAN RIGHTS","Crackdown Bleeds Kenya's Democracy Movement, Killing 7",The New York Times,article,http://www.nytimes.com/1997/07/08/world/crackdown-bleeds-kenya-s-democracy-movement-killing-7.html,Foreign Desk,World,"Wielding ax handles, tear gas and rubber bullets, riot policemen crushed pro-democracy rallies across Kenya today, killing at least seven people and wounding dozens of others in the worst political violence in this relatively stable country since...","Wielding ax handles, tear gas and rubber bullets, riot policemen crushed pro-democracy rallies across Kenya today, killing at least seven people and wounding dozens of others in the worst political violence in this relatively stable country since 1991. The widespread protests and riots were a major embarrassment to President Daniel arap Moi, the authoritarian leader who has ruled Kenya for 19 years and has begrudged every move toward a more democratic system."
1997-07-10T00:00:00Z,KENYA; UNIVERSITY OF NAIROBI; JOMO KENYATTA UNIVERSITY; POLITICS AND GOVERNMENT; DEMONSTRATIONS AND RIOTS; TEAR GAS,Kenya Closes Campuses in Face of Violent Protests,The New York Times,article,http://www.nytimes.com/1997/07/10/world/kenya-closes-campuses-in-face-of-violent-protests.html,Foreign Desk,World,Fierce clashes broke out at the University of Nairobi today as hundreds of students protested a violent Government crackdown on opposition leaders seeking constitutional reforms.    Witnesses said riot policemen  broke down doors and used tear gas to...,"Fierce clashes broke out at the University of Nairobi today as hundreds of students protested a violent Government crackdown on opposition leaders seeking constitutional reforms. Witnesses said riot policemen broke down doors and used tear gas to force students out of their dormitories on the main campus in downtown Nairobi this morning. Some students were clubbed as they struggled to pack and flee, they said. At least 20 people were reported hurt."
1997-07-14T00:00:00Z,"BLANCO, MIGUEL ANGEL; PAMPLONA (SPAIN); SPAIN; ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS; BASQUES; POLITICS AND GOVERNMENT; KIDNAPPING; DEMONSTRATIONS AND RIOTS; TERRORISM",Protests Follow Death of Official Kidnapped by Basque Rebels,The New York Times,article,http://www.nytimes.com/1997/07/14/world/protests-follow-death-of-official-kidnapped-by-basque-rebels.html,Foreign Desk,World,"The death early today of a town councilman who had been kidnapped and fatally wounded by Basque separatists touched off new protests against terrorism throughout Spain, with tension rising particularly in the Basque city of Pamplona, where riot...","The death early today of a town councilman who had been kidnapped and fatally wounded by Basque separatists touched off new protests against terrorism throughout Spain, with tension rising particularly in the Basque city of Pamplona, where riot policemen struggled to control the angry crowds. The councilman, Miguel Angel Blanco, 29, was kidnapped on Thursday and found shot with two bullets to the head on Saturday near the city of San Sebastian in northern Spain. He died there before dawn today, in the hospital of Our Lady of Aranzazu."
1997-07-14T00:00:00Z,ISRAEL; HEBRON (WEST BANK); PALESTINIANS; DEMONSTRATIONS AND RIOTS,New Israeli Barriers Fail to Stop Street Clashes in Hebron,The New York Times,article,http://www.nytimes.com/1997/07/14/world/new-israeli-barriers-fail-to-stop-street-clashes-in-hebron.html,Foreign Desk,World,"Despite new Israeli concrete barriers along the battle-scarred Shalala Street in Hebron, rock-throwing Palestinian youths again dueled with Israeli soldiers there today, and four television crewmen shot by the soldiers were among the wounded.   ...","Despite new Israeli concrete barriers along the battle-scarred Shalala Street in Hebron, rock-throwing Palestinian youths again dueled with Israeli soldiers there today, and four television crewmen shot by the soldiers were among the wounded. After weeks of the daily clashes along the narrow street, which is divided between the Israeli-controlled security zone and the Palestinian-controlled area, Israel appeared increasingly determined to toughen its stance."
1997-07-19T00:00:00Z,MOHAWK CORRECTIONAL FACILITY; PRISONS AND PRISONERS; GUARDS; DEMONSTRATIONS AND RIOTS,Prison Disturbance Is Quelled in Rome,AP,article,http://www.nytimes.com/1997/07/19/nyregion/prison-disturbance-is-quelled-in-rome.html,Metropolitan Desk,New York and Region,"Five guards were injured yesterday during a disturbance at the Mohawk Correctional Facility, a correction official said.    The incident began around 6:30 P.M. near a dormitory when a fight broke out between inmates, and a correction lieutenant was...","Five guards were injured yesterday during a disturbance at the Mohawk Correctional Facility, a correction official said. The incident began around 6:30 P.M. near a dormitory when a fight broke out between inmates, and a correction lieutenant was hit in the head with a baseball bat, said a correction spokesman, Jim Flateau. Four other guards were injured while breaking up the fight, although Mr. Flateau said none of the injuries were life-threatening. The guards were not immediately identified."
1997-07-24T00:00:00Z,"VERSACE, GIANNI; CUNANAN, ANDREW PHILLIP; MIAMI BEACH (FLA); FLORIDA; MURDERS AND ATTEMPTED MURDERS; SERIAL MURDERS","Body on Boat Could Be Cunanan's, Officials Say",The New York Times,article,http://www.nytimes.com/1997/07/24/us/body-on-boat-could-be-cunanan-s-officials-say.html,National Desk,Front Page; U.S.,"A police search of a houseboat here on Wednesday revealed the body of a man that local and Federal officials say might be that of Andrew P. Cunanan, the 27-year-old California man suspected in the murders of five men in four states, including Gianni...","A police search of a houseboat here on Wednesday revealed the body of a man that local and Federal officials say might be that of Andrew P. Cunanan, the 27-year-old California man suspected in the murders of five men in four states, including Gianni Versace, the fashion designer. Early this morning, Chief Richard Barreto of the Miami Beach Police Department said forensic units had not yet determined the identity of the body. But he said there was a ''similarity in the victim found'' to Mr. Cunanan, the subject of an intensive nationwide manhunt. He added that investigators had found ''nothing else to indicate'' a definite identification. He declined to say how the victim died or whether a weapon was found."
1997-07-24T00:00:00Z,"VALDES, MICHAEL; ADAMS, DARREN; STONE, EMMITT G; NEW YORK CITY; FAR ROCKAWAY (NYC); MURDERS AND ATTEMPTED MURDERS","Man Slain in Queens After Breaking Up Fight, Police Say",The New York Times,article,http://www.nytimes.com/1997/07/24/nyregion/man-slain-in-queens-after-breaking-up-fight-police-say.html,Metropolitan Desk,New York and Region,"An act of valor on a subway platform led to the death of a Queens teen-ager Tuesday night when he was tracked down by more than a dozen youths and shot in the chest, the police said.    The victim, Michael Valdes, 19, was shot in a playground at the...","An act of valor on a subway platform led to the death of a Queens teen-ager Tuesday night when he was tracked down by more than a dozen youths and shot in the chest, the police said. The victim, Michael Valdes, 19, was shot in a playground at the Hammel Houses on Rockaway Beach Boulevard in Far Rockaway, apparently because he and a cousin had intervened earlier in an argument between a youth and a group of girls on the subway platform, Deputy Inspector Michael Collins, a police spokesman, said."
1997-07-25T00:00:00Z,"VERSACE, GIANNI; CUNANAN, ANDREW; REINECK, TORSTEN; MIAMI BEACH (FLA); MURDERS AND ATTEMPTED MURDERS; BIOGRAPHICAL INFORMATION","At End of Cunanan Manhunt, Suicide and Mystery",The New York Times,article,http://www.nytimes.com/1997/07/25/us/at-end-of-cunanan-manhunt-suicide-and-mystery.html,National Desk,Front Page; U.S.,"In the desperate days before he shot himself in the master bedroom of a luxury houseboat moored in a canal here, Andrew P. Cunanan telephoned an acquaintance frantically trying to get a fake passport so he could escape, Federal investigators said...","In the desperate days before he shot himself in the master bedroom of a luxury houseboat moored in a canal here, Andrew P. Cunanan telephoned an acquaintance frantically trying to get a fake passport so he could escape, Federal investigators said today. ''He was a desperate person with very little room to move about,'' the Miami Beach Police Chief, Richard Barreto, said at a news conference today. ''I'm happy that this has been brought to closure without another victim.''"
1997-07-27T00:00:00Z,"VERSACE, GIANNI; CUNANAN, ANDREW PHILLIP; MIAMI BEACH (FLA); MURDERS AND ATTEMPTED MURDERS; SUICIDES AND SUICIDE ATTEMPTS","In the End, Cunanan Proved Neither Cunning Nor Brazen",The New York Times,article,http://www.nytimes.com/1997/07/27/us/in-the-end-cunanan-proved-neither-cunning-nor-brazen.html,National Desk,U.S.,"A broken lock lay on the floor of the houseboat, a sign the intruder had forced his way inside. Pillows and blankets were scattered about, and a makeshift bed sat in the living room. The intruder had moved from boat to boat along the dock, rarely...","A broken lock lay on the floor of the houseboat, a sign the intruder had forced his way inside. Pillows and blankets were scattered about, and a makeshift bed sat in the living room. The intruder had moved from boat to boat along the dock, rarely venturing elsewhere, not even for food. His corpse, when the authorities found it, looked a bit scrawny, they said, not much like the robust man from the wanted posters. In the end, the most wanted fugitive in America, Andrew P. Cunanan, a 27-year-old man the authorities once labeled brazen, wily and highly intelligent, had holed up along the edge of the water for nine days, officials said, too frightened to cape. Rather than face an unscripted ending, he shot himself in the mouth with a .40 caliber gun."
1997-08-24T00:00:00Z,ISRAEL; PALESTINIANS,Palestinians Say Israelis Plan Raids,The New York Times,article,http://www.nytimes.com/1997/08/24/world/palestinians-say-israelis-plan-raids.html,Foreign Desk,World,"In a new sign of the breakdown in trust between peace partners, top Palestinian officials warned today that Israel might be preparing to stage commando operations in territory under Palestinian control.    With Yasir Arafat, the Palestinian leader,...","In a new sign of the breakdown in trust between peace partners, top Palestinian officials warned today that Israel might be preparing to stage commando operations in territory under Palestinian control. With Yasir Arafat, the Palestinian leader, still defying Israeli demands that he carry out a security crackdown against Islamic militants, the Palestinians said they had information suggesting that Israel could soon make good on threats to make such raids."
1997-08-25T00:00:00Z,"CHILUBA, FREDERICK; KUANDA, KENNETH D; ZAMBIA; ASSASSINATIONS AND ATTEMPTED ASSASSINATIONS; POLITICS AND GOVERNMENT","Kaunda, Wounded, Sees Official Plot to Kill Him",Agence France-Presse,article,http://www.nytimes.com/1997/08/25/world/kaunda-wounded-sees-official-plot-to-kill-him.html,Foreign Desk,World,"Former President Kenneth D. Kaunda of Zambia said today that he had been warned that the Government wanted to assassinate him before he was shot and wounded by the police at an opposition rally on Saturday.    Mr. Kaunda, a critic of President...","Former President Kenneth D. Kaunda of Zambia said today that he had been warned that the Government wanted to assassinate him before he was shot and wounded by the police at an opposition rally on Saturday. Mr. Kaunda, a critic of President Frederick Chiluba, was grazed on the forehead by a bullet as policemen fired on his car after they moved in to break up a rally of the National Opposition Alliance in the central town of Kabwe, north of this capital."
